It does n't believe in itself , it has no sense of humor ... it 's just plain bored .	0
A sequence of ridiculous shoot - 'em - up scenes .	0
The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .	1
-LRB- W -RRB- hile long on amiable monkeys and worthy environmentalism , Jane Goodall 's Wild Chimpanzees is short on the thrills the oversize medium demands .	0
As surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .	1
Escaping the studio , Piccoli is warmly affecting and so is this adroitly minimalist movie .	1
There 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .	1
This illuminating documentary transcends our preconceived vision of the Holy Land and its inhabitants , revealing the human complexities beneath .	1
The subtle strength of `` Elling '' is that it never loses touch with the reality of the grim situation .	1
Holm ... embodies the character with an effortlessly regal charisma .	1
The title not only describes its main characters , but the lazy people behind the camera as well .	0
It offers little beyond the momentary joys of pretty and weightless intellectual entertainment .	0
A synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .	0
A subtle and well-crafted -LRB- for the most part -RRB- chiller .	1
Has a lot of the virtues of Eastwood at his best .	1
It 's hampered by a Lifetime-channel kind of plot and a lead actress who is out of her depth .	0
It feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .	0
For the most part , director Anne-Sophie Birot 's first feature is a sensitive , extraordinarily well-acted drama .	1
Mr. Tsai is a very original artist in his medium , and What Time Is It There ?	1
Sade is an engaging look at the controversial eponymous and fiercely atheistic hero .	1
So devoid of any kind of intelligible story that it makes films like XXX and Collateral Damage seem like thoughtful treatises	0
A tender , heartfelt family drama .	1
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .	0
The Cold Turkey would 've been a far better title .	0
Manages to be both repulsively sadistic and mundane .	0
It 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .	0
This is a story of two misfits who do n't stand a chance alone , but together they are magnificent .	1
Schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .	0
The primitive force of this film seems to bubble up from the vast collective memory of the combatants .	1
On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .	1
The script kicks in , and Mr. Hartley 's distended pace and foot-dragging rhythms follow .	0
You wonder why Enough was n't just a music video rather than a full-length movie .	0
If you 're hard up for raunchy college humor , this is your ticket right here .	1
A fast , funny , highly enjoyable movie .	1
Good old-fashioned slash-and-hack is back !	1
This one is definitely one to skip , even for horror movie fanatics .	0
For all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , Lily Chou-Chou never really builds up a head of emotional steam .	0
Exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .	1
Uses high comedy to evoke surprising poignance .	1
One of creepiest , scariest movies to come along in a long , long time , easily rivaling Blair Witch or The Others .	1
A string of rehashed sight gags based in insipid vulgarity .	0
Among the year 's most intriguing explorations of alientation .	1
The movie fails to live up to the sum of its parts .	0
The Son 's Room is a triumph of gentility that earns its moments of pathos .	1
There is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .	1
This is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed James Bond into the mindless XXX mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .	0
The draw -LRB- for `` Big Bad Love '' -RRB- is a solid performance by Arliss Howard .	1
Green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .	0
It 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .	0
Though it 's become almost redundant to say so , major kudos go to Leigh for actually casting people who look working-class .	1
The band 's courage in the face of official repression is inspiring , especially for aging hippies -LRB- this one included -RRB- .	1
The movie achieves as great an impact by keeping these thoughts hidden as ... -LRB- Quills -RRB- did by showing them .	1
The film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .	0
Jaglom ... put -LRB- s -RRB- the audience in the privileged position of eavesdropping on his characters	1
Fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .	1
We know the plot 's a little crazy , but it held my interest from start to finish .	1
It 's a scattershot affair , but when it hits its mark it 's brilliant .	1
Hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .	1
You wo n't like Roger , but you will quickly recognize him .	0
If Steven Soderbergh 's ` Solaris ' is a failure it is a glorious failure .	1
Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .	1
This riveting World War II moral suspense story deals with the shadow side of American culture : racial prejudice in its ugly and diverse forms .	0
It 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .	0
No sophomore slump for director Sam Mendes , who segues from Oscar winner to Oscar-winning potential with a smooth sleight of hand .	1
On the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .	0
Why make a documentary about these marginal historical figures ?	0
